1,Sawyer Ford,sford,$2a$10$XfaVhJuW1iUSIuQLaHk9I.VNXTWacg5waWhVsXylcTyxOIRlIqtyW,Oahu,American,2018-04-29 10:00:00,2018-05-06 15:00:00,Greater Los Angeles,false
2,Kate Austen,kausten,$2a$10$XfaVhJuW1iUSIuQLaHk9I.VNXTWacg5waWhVsXylcTyxOIRlIqtyW,Oahu,Delta,2018-04-22 11:00:00,2018-04-29 13:00:00,Utah,false
3,Jack Shepherd,jshepherd,$2a$10$XfaVhJuW1iUSIuQLaHk9I.VNXTWacg5waWhVsXylcTyxOIRlIqtyW,Oahu,Hawaiian,2018-04-15 11:00:00,2018-04-22 03:00:00,Minnesota,false
4,Hurley Reyes,hreyes,$2a$10$XfaVhJuW1iUSIuQLaHk9I.VNXTWacg5waWhVsXylcTyxOIRlIqtyW,Oahu,United,2018-04-08 20:30:00,2018-04-15 15:30:00,Idaho,false
5,John Locke,jlocke,$2a$10$XfaVhJuW1iUSIuQLaHk9I.VNXTWacg5waWhVsXylcTyxOIRlIqtyW,Oahu,Alaska,2018-04-01 19:45:00,2018-04-08 18:00:00,Greater Los Angeles,false
6,Desmond Hume,dhume,$2a$10$XfaVhJuW1iUSIuQLaHk9I.VNXTWacg5waWhVsXylcTyxOIRlIqtyW,Oahu,Delta,2018-03-25 18:45:00,2018-04-01 16:30:00,Utah,false
7,Sayid Jarrah,sjarrah,$2a$10$XfaVhJuW1iUSIuQLaHk9I.VNXTWacg5waWhVsXylcTyxOIRlIqtyW,Oahu,American,2018-03-18 11:00:00,2018-03-25 04:30:00,Minnesota,false
8,Ben Linus,blinus,$2a$10$XfaVhJuW1iUSIuQLaHk9I.VNXTWacg5waWhVsXylcTyxOIRlIqtyW,Oahu,United,2018-03-11 10:15:00,2018-03-18 15:20:00,North Texas,false
9,Charlie Pace,cpace,$2a$10$XfaVhJuW1iUSIuQLaHk9I.VNXTWacg5waWhVsXylcTyxOIRlIqtyW,Oahu,Hawaiian,2018-03-04 10:45:00,2018-03-11 08:00:00,Idaho,false
10,Claire Littleton,clittleton,$2a$10$XfaVhJuW1iUSIuQLaHk9I.VNXTWacg5waWhVsXylcTyxOIRlIqtyW,Oahu,Alaska,2018-02-25 11:25:00,2018-03-04 20:30:00,North Texas,false
